-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2015 through 12/31/2023 in LST
Location: Latitude  25.2048   Longitude 55.2708 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 20.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,T2M,WS10M,ALLSKY_SFC_SW_DWN,RH2M
2015,1,1,0,20.57,1.78,0.0,74.05
2015,1,1,1,20.55,1.7,0.0,74.2
2015,1,1,2,20.37,1.92,0.0,75.5
2015,1,1,3,20.05,2.2,0.0,77.7
2015,1,1,4,19.62,2.51,0.0,80.61
2015,1,1,5,19.1,2.89,0.0,84.12
2015,1,1,6,18.56,3.27,0.0,88.05
2015,1,1,7,18.61,3.43,36.9,88.45
2015,1,1,8,19.94,3.97,208.18,81.47
2015,1,1,9,21.65,3.64,398.27,71.62
2015,1,1,10,23.53,3.2,565.72,58.82
2015,1,1,11,24.87,2.26,474.17,47.76
2015,1,1,12,25.73,1.0,670.3,40.55
2015,1,1,13,26.11,1.19,624.9,38.33
2015,1,1,14,26.13,2.37,524.85,39.37
2015,1,1,15,25.81,3.41,360.27,42.06
2015,1,1,16,25.04,4.11,165.8,46.84
2015,1,1,17,23.22,4.36,15.35,57.48
2015,1,1,18,22.36,4.43,0.0,65.79
2015,1,1,19,22.01,3.88,0.0,69.01
2015,1,1,20,21.76,3.22,0.0,68.59
2015,1,1,21,21.55,2.68,0.0,67.17
2015,1,1,22,21.38,2.19,0.0,65.4
2015,1,1,23,21.23,1.72,0.0,63.69
2015,1,2,0,21.02,1.35,0.0,62.56
2015,1,2,1,20.74,1.13,0.0,61.85
2015,1,2,2,20.52,0.84,0.0,61.41
2015,1,2,3,20.47,0.69,0.0,61.41
